"werr","wanzw","wm2","wanzr","wheiz","wrecht","wkges","wvertr","wfrist","bhhgr","dseitz","dstd","kjahr","xanzkind","xminalt","balt5","bsex","bfst","xbstaat","xbgeblan","xhatlevel","xeinw","xlfi","xpatch","xurb","xnuts1","xnuts2"
3,3,2,3,1,3,2,3,1,1,17,30,26,-3,-3,7,1,4,1,1,32,4,1,-3,1,2,22
4,1,4,8,2,1,1,NA,-3,2,4,40,40,1,21,10,2,4,1,1,51,4,1,-3,1,1,13
4,1,4,8,2,1,1,NA,-3,2,21,45,12,1,21,3,2,1,1,1,32,4,1,-3,1,1,13
3,3,2,3,2,6,1,NA,-3,3,308,40,28,1,15,7,1,2,1,1,32,2,1,2,2,3,33
3,3,2,3,2,6,1,NA,-3,3,35,20,30,1,15,6,2,2,6,6,21,2,1,2,2,3,33
3,3,2,3,2,6,1,NA,-3,3,-3,-3,1,1,15,1,2,1,1,1,21,2,3,2,2,3,33
7,2,5,7,3,1,1,NA,-3,5,-3,-3,28,2,16,7,2,2,1,1,32,2,3,2,3,2,21
7,2,5,7,3,1,1,NA,-3,5,303,40,27,2,16,7,1,2,1,1,32,2,1,2,3,2,21
7,2,5,7,3,1,1,NA,-3,5,-3,-3,4,2,16,1,1,1,1,1,21,2,3,2,3,2,21
7,2,5,7,3,1,1,NA,-3,5,-3,-3,2,2,16,1,1,1,1,1,21,2,3,2,3,2,21
7,2,5,7,3,1,1,NA,-3,5,-3,-3,83,-3,-3,15,2,3,1,1,21,2,3,-3,3,2,21
2,1,4,5,2,1,1,NA,-3,1,-3,-3,57,-3,-3,12,2,4,1,1,21,3,3,-3,1,2,21
6,1,3,5,4,1,1,NA,-3,2,-3,-3,50,0,25,11,1,2,1,1,32,1,3,-3,3,2,22
6,1,3,5,4,1,1,NA,-3,2,-3,-3,47,0,25,10,2,2,1,1,32,1,3,-3,3,2,22
8,1,4,5,2,1,1,NA,-3,2,-3,-3,69,1,24,14,2,3,1,1,21,2,3,-3,2,2,22
8,1,4,5,2,1,1,NA,-3,2,-3,-3,45,1,24,10,2,1,1,1,21,2,3,-3,2,2,22
3,1,4,7,1,1,1,NA,-3,1,-3,-3,66,-3,-3,14,2,3,1,1,21,1,3,-3,3,1,11
6,2,3,3,2,3,3,2,1,1,39,38.5,13,-3,-3,4,2,1,1,1,32,2,1,-3,3,3,31
6,1,4,7,2,1,1,NA,-3,3,241,43,42,1,16,10,1,2,1,1,32,2,1,2,3,2,21
6,1,4,7,2,1,1,NA,-3,3,-3,-3,39,1,16,9,2,2,1,1,41,2,3,2,3,2,21
6,1,4,7,2,1,1,NA,-3,3,-3,-3,2,1,16,1,2,1,1,1,21,2,3,2,3,2,21
7,2,5,5,2,1,1,NA,-3,2,57,40,31,0,25,7,1,2,1,1,32,2,1,-3,2,1,12
7,2,5,5,2,1,1,NA,-3,2,41,48,26,0,25,6,2,2,1,1,32,2,1,-3,2,1,12
4,2,2,3,2,6,1,NA,-3,1,-3,-3,76,-3,-3,15,2,3,1,1,21,1,3,-3,3,1,12
3,4,1,1,1,3,1,6,2,1,-3,-3,44,-3,-3,9,2,4,1,4,21,4,3,-3,1,1,13
8,3,2,3,2,3,4,2,2,2,6,25,13,1,10,3,2,1,1,1,32,2,1,2,2,3,32
8,3,2,3,2,3,4,2,2,2,-3,-3,-3,1,10,0,2,1,1,1,999,2,3,2,2,3,32
7,4,3,4,2,2,2,NA,-3,1,27,8,28,-3,-3,7,1,1,1,1,32,3,1,-3,1,3,31
5,1,3,5,2,3,3,9,2,3,-3,-3,17,2,8,6,2,1,1,1,52,2,2,2,3,1,11
5,1,3,5,2,3,3,9,2,3,-3,-3,-3,2,8,0,1,1,1,1,999,2,3,2,3,1,11
